2025-06-28T19:43:32.334570 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T19:43:32.334702 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T19:43:32.334738 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T19:43:32.334787 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T19:43:32.334817 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T19:43:32.334851 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T19:43:32.334912 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T19:43:32.334958 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T19:43:32.334991 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T19:43:32.335074 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T19:43:32.335240 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T19:43:32.335288 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T19:43:32.335321 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T19:43:32.335537 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T19:43:32.335638 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T19:43:32.335670 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T19:43:32.335696 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T19:43:32.335724 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T19:43:32.335751 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T19:43:32.335776 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T19:43:32.335800 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T19:43:32.335827 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T19:43:32.335852 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T19:43:32.335893 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T19:49:59.817251 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T19:49:59.817582 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T19:49:59.817662 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
